"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"BS";"BS";"BS";"0";"0";"0";"0";"0";"0";"5";"0"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"0";"4"
"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"0";"1";"0";"0"
"BS";"BS";"0";"0";"0";"0";"0";"5";"0";"0";"0"
"BS";"BS";"BS";"BS";"0";"0";"0";"0";"1";"0";"1"
"BS";"BS";"BS";"BS";"BS";"1";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"2";"AE";"AE"
"BS";"BS";"BS";"BS";"BS";"1";"1";"D";"D";"D";"D"
"BS";"BS";"BS";"0";"0";"0";"1";"1";"0";"1";"1"
"BS";"BS";"BS";"BS";"2";"2";"3";"2";"0";"0";"0"
"BS";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"1"
"BS";"BS";"0";"0";"0";"0";"0";"1";"1";"1";"1"
"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0"
"BS";"BS";"BS";"BS";"0";"0";"1";"1";"1";"1";"0"
"BS";"BS";"BS";"BS";"BS";"0";"0";"0";"5";"0";"0"
"BS";"BS";"BS";"0";"0";"0";"2";"0";"0";"3";"3"
"0";"3";"0";"0";"0";"0";"0";"0";"0";"AE";"AE"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"1"
"0";"0";"0";"0";"1";"AE";"AE";"AE";"AE";"AE";"AE"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"3";"0"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"0";"0";"1";"1"
"0";"0";"0";"0";"1";"1";"0";"1";"0";"AE";"AE"
"4";"4";"0";"3";"1";"1";"1";"1";"1";"1";"1"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"BS";"0";"4"
"BS";"BS";"BS";"BS";"BS";"1";"0";"0";"0";"0";"0"
"BS";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0"
"BS";"BS";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"2";"0";"0";"0";"0";"0";"0";"AE";"AE";"AE";"AE"
"BS";"BS";"BS";"BS";"BS";"BS";"BS";"1";"1";"1";"1"
